statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2019-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;83166711;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1998-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82037011;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1953-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;52453806;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;83456045;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2006-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82314906;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1970-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61001164;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1973-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;62101369;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1958-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;54719159;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;83577140;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1989-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;62679035;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1987-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61238079;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2010-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;81751602;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2009-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;81802257;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1956-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;53339626;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1990-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;79753227;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1992-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;80974632;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1977-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61352745;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2012-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;80523746;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1961-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;56589148;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1963-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;57864509;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1994-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;81538603;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1975-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61644624;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2014-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;81197537;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2000-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82259540;Anzahl;BEVSTD;Bevölkerungsstand;e
